Kanton;Jahr;Gemeinde;Kanton;Gemeinde;ref. Kirchgemeinde;kath. Kirchgemeinde
TG;2011;Aadorf;117;151;20;19
TG;2012;Aadorf;117;151;20;19
TG;2013;Aadorf;117;153;20;19
TG;2014;Aadorf;117;153;20;19
TG;2015;Aadorf;117;153;19;19
TG;2016;Aadorf;117;153;19;19
TG;2017;Aadorf;117;153;19;19
AG;2011;Aarau;109;94;15;19
AG;2012;Aarau;109;94;15;19
AG;2013;Aarau;109;94;15;19
AG;2014;Aarau;109;94;15;19
AG;2015;Aarau;109;94;15;18
AG;2016;Aarau;109;97;15;18
AG;2017;Aarau;109;97;15;18
BE;2011;Aarberg;3.06;1.6;0.161;0.2185
BE;2012;Aarberg;3.06;1.64;0.161;0.2185
BE;2013;Aarberg;3.06;1.64;0.161;0.2185
BE;2014;Aarberg;3.06;1.64;0.161;0.2185
BE;2015;Aarberg;3.06;1.64;0.161;0.2185
BE;2016;Aarberg;3.06;1.64;0.161;0.2185
BE;2017;Aarberg;3.06;1.6;0.161;0.2185
AG;2011;Aarburg;109;119;25;18
AG;2012;Aarburg;109;124;25;18
AG;2013;Aarburg;109;124;25;18
AG;2014;Aarburg;109;124;25;18
AG;2015;Aarburg;109;124;25;18
AG;2016;Aarburg;109;124;25;19
AG;2017;Aarburg;109;124;25;19
BE;2011;Aarwangen;3.06;1.29;0.184;0.23
BE;2012;Aarwangen;3.06;1.41;0.184;0.23
BE;2013;Aarwangen;3.06;1.41;0.184;0.23
BE;2014;Aarwangen;3.06;1.5;0.184;0.23
BE;2015;Aarwangen;3.06;1.57;0.184;0.23
BE;2016;Aarwangen;3.06;1.57;0.184;0.22
BE;2017;Aarwangen;3.06;1.57;0.184;0.22
AG;2011;Abtwil;109;112;17;22
AG;2012;Abtwil;109;112;17;22
AG;2013;Abtwil;109;112;17;22
SG;2013;Abtwil;115;115;21;21
SG;2014;Abtwil;115;115;21;21
AG;2014;Abtwil;109;112;17;22
AG;2015;Abtwil;109;112;17;22
AG;2016;Abtwil;109;112;17;22
AG;2017;Abtwil;109;112;17;20
VD;2011;Aclens;151.5;62;0;0
VD;2012;Aclens;154.5;62;0;0
VD;2013;Aclens;154.5;62;0;0
VD;2014;Aclens;154.5;62;0;0
VD;2015;Aclens;154.5;62;0;0
VD;2016;Aclens;154.5;62;0;0
VD;2017;Aclens;154.5;62;0;0
TI;2011;ACQUAROSSA;100;95;0;0
TI;2012;ACQUAROSSA;100;95;0;0
TI;2013;ACQUAROSSA;100;95;0;0
TI;2014;ACQUAROSSA;100;95;0;0
TI;2015;Acquarossa;100;95;0;0
TI;2016;Acquarossa;100;95;0;0
TI;2017;Acquarossa;100;95;0;0
BE;2011;Adelboden;3.06;1.99;0.184;0.23
BE;2012;Adelboden;3.06;1.99;0.184;0.23
BE;2013;Adelboden;3.06;1.99;0.184;0.23
BE;2014;Adelboden;3.06;1.99;0.184;0.23
BE;2015;Adelboden;3.06;1.99;0.184;0.23
BE;2016;Adelboden;3.06;1.99;0.184;0.23
BE;2017;Adelboden;3.06;1.99;0.184;0.23
LU;2011;Adligenswil;1.5;1.9;0.25;0.2275
